video_path,video_name,video_id,status,start,end,transcript,processed_text,num_words,num_seconds
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_0_4_4.mkv,23su4pTJ_XY_0_4_4,23su4pTJ_XY,None,21.5,35.9," In regards to what it is, I've kind of been at odds of hyping it up because part of me wants the surprise of it to just happen and then everyone freak out about it, but on the off chance that YouTube doesn't actually show it to people or people aren't aware of it or it's over before anyone even realized what's happening,", IN REGARDS TO WHAT IT IS I'VE KIND OF BEEN AT ODDS OF HYPING IT UP BECAUSE PART OF ME WANTS THE SURPRISE OF IT TO JUST HAPPEN AND THEN EVERYONE FREAK OUT ABOUT IT BUT ON THE OFF CHANCE THAT YOUTUBE DOESN'T ACTUALLY SHOW IT TO PEOPLE OR PEOPLE AREN'T AWARE OF IT OR IT'S OVER BEFORE ANYONE EVEN REALIZED WHAT'S HAPPENING,63,14.399999999999999
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_2_5_6.mkv,23su4pTJ_XY_2_5_6,23su4pTJ_XY,None,44.5,45.3,on this channel?,ON THIS CHANNEL,3,0.7999999999999972
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_2_6_7.mkv,23su4pTJ_XY_2_6_7,23su4pTJ_XY,None,45.7,49.8,I started them six years ago at this point.,I STARTED THEM SIX YEARS AGO AT THIS POINT,9,4.099999999999994
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_2_7_8.mkv,23su4pTJ_XY_2_7_8,23su4pTJ_XY,None,49.8,65.2,2016 was the first time I ever did anything with an ego character or any sort of like narrative character at all in October and now here we are six years later and the story is happening and unfolding and bits and pieces of it are happening tomorrow so you're gonna wanna tune in for that.,2016 WAS THE FIRST TIME I EVER DID ANYTHING WITH AN EGO CHARACTER OR ANY SORT OF LIKE NARRATIVE CHARACTER AT ALL IN OCTOBER AND NOW HERE WE ARE SIX YEARS LATER AND THE STORY IS HAPPENING AND UNFOLDING AND BITS AND PIECES OF IT ARE HAPPENING TOMORROW SO YOU'RE GONNA WANNA TUNE IN FOR THAT,56,15.400000000000006
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_2_8_9.mkv,23su4pTJ_XY_2_8_9,23su4pTJ_XY,None,65.4,69.0, Remember that short film I did with Chase Brody called... Chase?, REMEMBER THAT SHORT FILM I DID WITH CHASE BRODY CALLED CHASE,11,3.5999999999999943
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_4_11_12.mkv,23su4pTJ_XY_4_11_12,23su4pTJ_XY,None,76.7,82.3,"I normally would have said a lot more about it before 24 hours before it happens, but I have been deathly ill.",I NORMALLY WOULD HAVE SAID A LOT MORE ABOUT IT BEFORE 24 HOURS BEFORE IT HAPPENS BUT I HAVE BEEN DEATHLY ILL,22,5.599999999999994
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_4_12_13.mkv,23su4pTJ_XY_4_12_13,23su4pTJ_XY,None,82.3,91.4,"I went to a YouTube summit like a couple of weeks ago now at this point in Spain and I came back and I thought I had the big C, but I didn't.",I WENT TO A YOUTUBE SUMMIT LIKE A COUPLE OF WEEKS AGO NOW AT THIS POINT IN SPAIN AND I CAME BACK AND I THOUGHT I HAD THE BIG C BUT I DIDN'T,33,9.100000000000009
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_4_13_14.mkv,23su4pTJ_XY_4_13_14,23su4pTJ_XY,None,91.5,93.8,I tested like eight times and they all came back negative.,I TESTED LIKE EIGHT TIMES AND THEY ALL CAME BACK NEGATIVE,11,2.299999999999997
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_4_14_15.mkv,23su4pTJ_XY_4_14_15,23su4pTJ_XY,None,93.8,99.5,"So I think I just got a really awful flu and it is without a doubt, no exaggeration or hyperbole, the",SO I THINK I JUST GOT A REALLY AWFUL FLU AND IT IS WITHOUT A DOUBT NO EXAGGERATION OR HYPERBOLE THE,21,5.700000000000003
/ssd_scratch/cvit/vanshg/datasets/accented_speakers/jack/sentence_clips/23su4pTJ_XY/23su4pTJ_XY_4_15_16.mkv,23su4pTJ_XY_4_15_16,23su4pTJ_XY,None,99.8,101.9, Sickest I ever remember being., SICKEST I EVER REMEMBER BEING,5,2.1000000000000085
