video_path,video_name,video_id,status,start,end,transcript,processed_text,num_words,num_seconds
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_1_2_2.mp4,15b1sEDtVCs_1_2_2,15b1sEDtVCs,Accepted,13.5,19.0,"But, before when I first started learning ASL abc",BUT BEFORE WHEN I FIRST STARTED LEARNING ASL ABC,9,5.5
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_1_3_3.mp4,15b1sEDtVCs_1_3_3,15b1sEDtVCs,Accepted,19.2,25.8,I realised I really struggled with how to remember and learn ASL abc,I REALISED I REALLY STRUGGLED WITH HOW TO REMEMBER AND LEARN ASL ABC,13,6.600000000000001
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_1_5_5.mp4,15b1sEDtVCs_1_5_5,15b1sEDtVCs,Accepted,29.7,34.7,"Until my boyfriend John asked me, do you know ASL abc?",UNTIL MY BOYFRIEND JOHN ASKED ME DO YOU KNOW ASL ABC,11,5.0000000000000036
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_1_8_8.mp4,15b1sEDtVCs_1_8_8,15b1sEDtVCs,Accepted,45.9,47.8,"the funny thing is,",THE FUNNY THING IS,4,1.8999999999999986
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_1_9_9.mp4,15b1sEDtVCs_1_9_9,15b1sEDtVCs,Accepted,48.7,54.8,"finally, it clicked I've found ASL abc really easy",FINALLY IT CLICKED I'VE FOUND ASL ABC REALLY EASY,9,6.099999999999994
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_1_10_10.mp4,15b1sEDtVCs_1_10_10,15b1sEDtVCs,Accepted,55.3,59.3,you know why? Because I practiced with another person,YOU KNOW WHY BECAUSE I PRACTICED WITH ANOTHER PERSON,9,4.0
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_1_12_12.mp4,15b1sEDtVCs_1_12_12,15b1sEDtVCs,Accepted,64.0,68.7,"Really, when you learn sign language, more quicker",REALLY WHEN YOU LEARN SIGN LANGUAGE MORE QUICKER,8,4.700000000000003
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_1_13_13.mp4,15b1sEDtVCs_1_13_13,15b1sEDtVCs,Accepted,68.8,72.8,if you hang around deaf people who sign,IF YOU HANG AROUND DEAF PEOPLE WHO SIGN,8,4.0
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_1_15_15.mp4,15b1sEDtVCs_1_15_15,15b1sEDtVCs,Accepted,77.1,81.4,you go to France and hang around people who speak French,YOU GO TO FRANCE AND HANG AROUND PEOPLE WHO SPEAK FRENCH,11,4.300000000000011
/ssd_scratch/cvit/vanshg/datasets/deaf-youtube/realdeafdreamer/original_sentence_clips/15b1sEDtVCs/15b1sEDtVCs_2_16_16.mp4,15b1sEDtVCs_2_16_16,15b1sEDtVCs,Accepted,82.8,90.2,Sometimes John and I use ASL abc in video calls,SOMETIMES JOHN AND I USE ASL ABC IN VIDEO CALLS,10,7.400000000000006
